INFO 2024-10-03 07:13:56,323 basehttp "GET /api/v1/visualizations/leave_type_distribution/ HTTP/1.1" 200 2
INFO 2024-10-03 07:13:56,325 basehttp "GET /api/v1/visualizations/employee_leave_trend/?start_date=2024-09-19&end_date=2024-10-03 HTTP/1.1" 200 2
INFO 2024-10-03 07:13:59,867 basehttp "GET /api/v1/visualizations/employees/ HTTP/1.1" 200 4173
INFO 2024-10-03 07:14:00,044 basehttp "GET /api/v1/visualizations/employees/ HTTP/1.1" 200 4173
INFO 2024-10-03 07:14:00,441 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:14:00,468 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:14:01,070 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:14:01,106 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:14:01,528 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:14:01,553 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:14:01,698 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:14:01,726 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:14:01,867 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:14:01,891 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:14:02,017 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:14:02,044 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:14:21,867 autoreload /app/leavemgt/settings.py changed, reloading.
INFO 2024-10-03 07:14:22,584 autoreload Watching for file changes with StatReloader
INFO 2024-10-03 07:15:25,518 autoreload /app/leavemgt/settings.py changed, reloading.
INFO 2024-10-03 07:15:26,429 autoreload Watching for file changes with StatReloader
INFO 2024-10-03 07:15:31,073 autoreload /app/leavemgt/settings.py changed, reloading.
INFO 2024-10-03 07:15:31,914 autoreload Watching for file changes with StatReloader
INFO 2024-10-03 07:17:15,588 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:15,614 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:16,055 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:16,079 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:16,371 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:16,393 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:16,551 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:16,575 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:16,694 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:16,718 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:16,863 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:16,891 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:17,031 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:17,060 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:17,175 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:17,201 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:17,318 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:17,341 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:17,490 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:17,514 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:17,657 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:17,682 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:17,840 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:17,865 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:18,008 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:18,033 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:18,159 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:18,185 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:18,309 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:18,338 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:18,473 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:18,501 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:18,630 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:18,657 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:18,806 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:18,831 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:18,977 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:19,011 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:19,327 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:19,352 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:20,202 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:20,229 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:20,550 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:20,574 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:17:20,745 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:17:20,768 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:18:05,353 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:18:05,380 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:18:05,801 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:18:05,824 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:18:05,961 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:18:05,991 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:18:06,119 basehttp "GET /api/v1/visualizations/d3_visualization/ HTTP/1.1" 200 9664
INFO 2024-10-03 07:18:06,149 basehttp "GET /api/v1/visualizations/leave-heatmap/ HTTP/1.1" 200 2
INFO 2024-10-03 07:18:07,059 basehttp "GET /api/v1/dataupload/upload/ HTTP/1.1" 200 3958
INFO 2024-10-03 07:18:08,022 basehttp "GET /api/v1/visualizations/employee-count-by-designation-view/ HTTP/1.1" 200 11751
INFO 2024-10-03 07:18:08,063 basehttp "GET /api/v1/visualizations/employee-count-by-designation/?department=all HTTP/1.1" 200 2
INFO 2024-10-03 07:18:08,074 basehttp "GET /api/v1/visualizations/leave_type_distribution/ HTTP/1.1" 200 2
INFO 2024-10-03 07:18:08,075 basehttp "GET /api/v1/visualizations/employee_leave_trend/?start_date=2024-09-19&end_date=2024-10-03 HTTP/1.1" 200 2
INFO 2024-10-03 07:20:21,705 basehttp "GET /api/v1/visualizations/employee-count-by-designation-view/ HTTP/1.1" 200 11751
INFO 2024-10-03 07:20:21,730 basehttp "GET /api/v1/visualizations/employee-count-by-designation/?department=all HTTP/1.1" 200 2
INFO 2024-10-03 07:20:21,733 basehttp "GET /api/v1/visualizations/leave_type_distribution/ HTTP/1.1" 200 2
INFO 2024-10-03 07:20:21,734 basehttp "GET /api/v1/visualizations/employee_leave_trend/?start_date=2024-09-19&end_date=2024-10-03 HTTP/1.1" 200 2
INFO 2024-10-03 07:20:22,144 basehttp "GET /api/v1/visualizations/employee-count-by-designation-view/ HTTP/1.1" 200 11751
INFO 2024-10-03 07:20:22,170 basehttp "GET /api/v1/visualizations/employee-count-by-designation/?department=all HTTP/1.1" 200 2
INFO 2024-10-03 07:20:22,174 basehttp "GET /api/v1/visualizations/leave_type_distribution/ HTTP/1.1" 200 2
INFO 2024-10-03 07:20:22,175 basehttp "GET /api/v1/visualizations/employee_leave_trend/?start_date=2024-09-19&end_date=2024-10-03 HTTP/1.1" 200 2
INFO 2024-10-03 07:20:22,328 basehttp "GET /api/v1/visualizations/employee-count-by-designation-view/ HTTP/1.1" 200 11751
INFO 2024-10-03 07:20:22,354 basehttp "GET /api/v1/visualizations/employee-count-by-designation/?department=all HTTP/1.1" 200 2
INFO 2024-10-03 07:20:22,355 basehttp "GET /api/v1/visualizations/leave_type_distribution/ HTTP/1.1" 200 2
INFO 2024-10-03 07:20:22,357 basehttp "GET /api/v1/visualizations/employee_leave_trend/?start_date=2024-09-19&end_date=2024-10-03 HTTP/1.1" 200 2
INFO 2024-10-03 07:20:24,221 basehttp "GET /api/v1/dataupload/navigation/ HTTP/1.1" 200 4327
INFO 2024-10-03 07:20:25,034 basehttp "GET /api/v1/dataupload/api HTTP/1.1" 301 0
INFO 2024-10-03 07:20:26,475 basehttp "GET /api/v1/dataupload/api/ HTTP/1.1" 200 52
INFO 2024-10-03 07:20:32,194 basehttp "GET /api/v1/visualizations/employee-count-by-designation-view/ HTTP/1.1" 200 11751
INFO 2024-10-03 07:20:32,221 basehttp "GET /api/v1/visualizations/employee-count-by-designation/?department=all HTTP/1.1" 200 2
INFO 2024-10-03 07:20:32,222 basehttp "GET /api/v1/visualizations/leave_type_distribution/ HTTP/1.1" 200 2
INFO 2024-10-03 07:20:32,224 basehttp "GET /api/v1/visualizations/employee_leave_trend/?start_date=2024-09-19&end_date=2024-10-03 HTTP/1.1" 200 2
INFO 2024-10-03 07:20:34,330 basehttp "GET /api/v1/visualizations/employee-count-by-designation-view/ HTTP/1.1" 200 11751
INFO 2024-10-03 07:20:34,376 basehttp "GET /api/v1/visualizations/leave_type_distribution/ HTTP/1.1" 200 2
INFO 2024-10-03 07:20:34,378 basehttp "GET /api/v1/visualizations/employee-count-by-designation/?department=all HTTP/1.1" 200 2
INFO 2024-10-03 07:20:34,379 basehttp "GET /api/v1/visualizations/employee_leave_trend/?start_date=2024-09-19&end_date=2024-10-03 HTTP/1.1" 200 2
INFO 2024-10-03 07:20:34,958 basehttp "GET /api/v1/visualizations/employee-count-by-designation-view/ HTTP/1.1" 200 11751
INFO 2024-10-03 07:20:34,987 basehttp "GET /api/v1/visualizations/employee-count-by-designation/?department=all HTTP/1.1" 200 2
INFO 2024-10-03 07:20:34,987 basehttp "GET /api/v1/visualizations/leave_type_distribution/ HTTP/1.1" 200 2
